SeniorCitizen,tenure,MonthlyCharges,gender_Female,gender_Male,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn_No,Churn_Yes,TotalCharges,clusters_4
0.0,0.6388888888888888,0.5626865671641791,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4024327485380117,1
0.0,0.4722222222222222,0.8766169154228854,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.42291228070175435,3
0.0,0.15277777777777776,0.7920398009950248,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.12588888888888888,3
0.0,0.1388888888888889,0.3114427860696517,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.057953216374269007,0
0.0,0.9722222222222222,0.5069651741293533,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5665497076023392,1
0.0,0.2361111111111111,0.02487562189054726,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04125730994152047,0
0.0,0.875,0.6129353233830845,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5883684210526315,1
0.0,0.18055555555555555,0.5766169154228856,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11585964912280702,3
0.0,0.6805555555555555,0.6592039800995024,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.48426900584795324,1
0.0,0.027777777777777776,0.30845771144278605,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.011520467836257311,0
0.0,0.027777777777777776,0.6208955223880598,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018865497076023394,3
0.0,0.7222222222222222,0.6119402985074627,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.48502923976608187,1
0.0,0.9583333333333333,0.4567164179104478,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.517701754385965,1
1.0,0.5972222222222222,0.7164179104477612,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4538888888888889,1
0.0,0.20833333333333331,0.8044776119402984,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.17385964912280702,3
1.0,0.3472222222222222,0.5099502487562189,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20321637426900585,3
1.0,0.1111111111111111,0.6208955223880598,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.07546198830409358,3
1.0,0.8333333333333333,0.56318407960199,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5252631578947369,1
1.0,0.25,0.7681592039800995,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.20094736842105265,3
0.0,0.875,0.8099502487562189,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.734263157894737,1
1.0,0.9166666666666666,0.8975124378109453,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8371578947368421,1
0.0,0.4722222222222222,0.06666666666666665,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09921637426900584,2
0.0,1.0,0.8880597014925372,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9052631578947369,1
0.0,0.6527777777777778,0.818407960199005,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5524561403508772,1
0.0,0.8333333333333333,0.7129353233830846,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6308771929824561,1
0.0,1.0,0.2373134328358209,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.35452631578947374,2
0.0,0.25,0.3597014925373134,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.11452631578947368,0
0.0,0.125,0.7577114427860697,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.09936842105263159,3
0.0,0.041666666666666664,0.5676616915422885,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.026421052631578946,3
0.0,0.6527777777777778,0.6034825870646766,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.43371929824561406,1
0.0,0.4305555555555555,0.6064676616915423,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.28715789473684217,3
0.0,0.6944444444444444,0.018905472636815884,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.11783625730994152,2
0.0,0.1388888888888889,0.6129353233830845,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09339181286549708,3
0.0,0.013888888888888888,0.30646766169154227,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.005736842105263157,0
0.0,0.7222222222222222,0.021393034825870627,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1240701754385965,2
1.0,0.8888888888888888,0.9288557213930347,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8353684210526315,1
0.0,0.861111111111111,0.05970149253731341,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17584795321637428,2
0.0,0.041666666666666664,0.46019900497512434,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.022631578947368423,3
1.0,0.7777777777777777,0.917910447761194,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7237426900584796,1
0.0,0.6388888888888888,0.37213930348258706,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.29940350877192984,2
0.0,0.1111111111111111,0.3621890547263681,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05113450292397661,0
1.0,0.41666666666666663,0.5621890547263682,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.262280701754386,3
0.0,0.625,0.07611940298507458,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.13631578947368422,2
0.0,0.013888888888888888,0.607960199004975,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.009280701754385964,3
0.0,0.15277777777777776,0.32139303482587056,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06503508771929824,0
0.0,0.09722222222222221,0.5661691542288557,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.06152631578947369,3
0.0,0.5833333333333333,0.8512437810945274,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5098947368421052,1
0.0,0.6805555555555555,0.018905472636815884,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.11547953216374268,2
0.0,0.125,0.8064676616915423,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.10452631578947368,3
0.0,0.4861111111111111,0.43681592039800987,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2544152046783626,3
0.0,0.6666666666666666,0.023880597014925342,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.11592982456140351,2
0.0,0.6388888888888888,0.01691542288557213,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.10733333333333334,2
0.0,0.40277777777777773,0.154228855721393,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11447368421052632,0
0.0,0.41666666666666663,0.6348258706467661,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.28789473684210526,3
1.0,0.013888888888888888,0.5616915422885572,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.00873684210526316,3
0.0,0.9166666666666666,0.654228855721393,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.648421052631579,1
0.0,0.9027777777777777,0.9233830845771144,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8442397660818713,1
0.0,1.0,0.8223880597014926,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8496842105263158,1
0.0,0.16666666666666666,0.6039800995024875,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11080701754385966,3
0.0,0.986111111111111,0.4835820895522387,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5551286549707601,1
0.0,0.06944444444444445,0.027860696517412936,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.012309941520467837,0
0.0,0.7222222222222222,0.027363184079601977,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.12771929824561404,2
1.0,0.3472222222222222,0.7985074626865671,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2880116959064328,3
0.0,0.013888888888888888,0.011940298507462671,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0022748538011695906,0
0.0,0.5277777777777778,0.763681592039801,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4222222222222222,1
1.0,0.9166666666666666,0.2716417910447761,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.35161403508771927,2
0.0,0.9444444444444444,0.9129353233830845,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8748538011695907,1
0.0,0.06944444444444445,0.06019900497512437,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.014210526315789474,0
0.0,1.0,0.854726368159204,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8770526315789474,1
0.0,0.4444444444444444,0.11840796019900496,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1128421052631579,0
0.0,0.5972222222222222,0.7572139303482587,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.47450877192982455,1
0.0,1.0,0.011442786069651711,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.16336842105263158,2
0.0,0.7638888888888888,0.7810945273631841,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6223684210526316,1
0.0,0.7222222222222222,0.3950248756218906,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.35244444444444445,2
0.0,0.5972222222222222,0.7303482587064677,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4609298245614036,1
1.0,0.5138888888888888,0.5796019900497512,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3310526315789474,3
0.0,0.8888888888888888,0.36169154228855727,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.40870175438596495,2
0.0,0.041666666666666664,0.7124378109452736,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.03152631578947368,3
0.0,0.5,0.127363184079602,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.13073684210526315,2
0.0,0.1388888888888889,0.8159203980099502,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11725146198830409,3
0.0,0.5694444444444444,0.023880597014925342,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0990233918128655,2
0.0,0.375,0.6661691542288557,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2690526315789474,3
0.0,0.7777777777777777,0.8114427860696517,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6536608187134504,1
0.0,0.08333333333333333,0.024378109452736302,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.014526315789473684,0
0.0,0.041666666666666664,0.5587064676616916,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.02610526315789474,3
0.0,0.09722222222222221,0.32288557213930347,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.041508771929824564,0
0.0,0.05555555555555555,0.025870646766169153,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.009754385964912281,0
0.0,0.4583333333333333,0.7034825870646766,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.34331578947368424,3
1.0,0.375,0.5950248756218905,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.24647368421052632,3
0.0,1.0,0.0527363184079602,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.19831578947368422,2
0.0,0.013888888888888888,0.014925373134328346,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.002309941520467836,0
1.0,0.986111111111111,0.3800995024875622,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4687660818713451,2
0.0,0.18055555555555555,0.6736318407960199,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13068421052631582,3
0.0,0.3472222222222222,0.4014925373134328,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17134502923976608,3
0.0,0.9305555555555555,0.32139303482587056,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3961228070175439,2
0.0,0.013888888888888888,0.17114427860696518,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004146198830409357,0
0.0,0.027777777777777776,0.25970149253731345,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.010374269005847954,0
0.0,0.5972222222222222,0.07412935323383085,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1292514619883041,2
0.0,0.3194444444444444,0.5646766169154228,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2017543859649123,3
0.0,0.8888888888888888,0.019402985074626844,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1512046783625731,2
0.0,0.7916666666666666,0.013432835820895522,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.13066666666666668,2
1.0,0.013888888888888888,0.5194029850746269,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.008239766081871346,3
1.0,1.0,0.6945273631840796,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7414736842105263,1
0.0,0.1111111111111111,0.5263681592039802,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06657309941520469,3
0.0,0.8472222222222222,0.8238805970149253,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7209415204678363,1
0.0,0.8888888888888888,0.6572139303482587,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6310175438596491,1
1.0,0.986111111111111,0.056716417910447736,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.19888304093567252,2
0.0,0.9027777777777777,0.8039800995024875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7530116959064328,1
0.0,0.041666666666666664,0.013432835820895522,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0068771929824561415,0
0.0,0.013888888888888888,0.27263681592039796,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.005339181286549708,0
0.0,0.41666666666666663,0.46019900497512434,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.22631578947368422,3
